CoreId,Identifier,type,rightsHolder,creator,accessURI,format,variantLiteral,license
108587548@OBS,https://observation.org/photos/9473496/,StillImage,Stan v. Remmerden,Stan v. Remmerden,https://observation.org/photos/9473496.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
108587577@OBS,https://observation.org/photos/9473489/,StillImage,Stan v. Remmerden,Stan v. Remmerden,https://observation.org/photos/9473489.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
56385389@OBS,https://observation.org/photos/9441120/,StillImage,Paul Cools,Paul Cools,https://observation.org/photos/9441120.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
56385393@OBS,https://observation.org/photos/9441117/,StillImage,Paul Cools,Paul Cools,https://observation.org/photos/9441117.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
106051215@OBS,https://observation.org/photos/9436479/,StillImage,Bart Noort,Bart Noort,https://observation.org/photos/9436479.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
106051213@OBS,https://observation.org/photos/9436477/,StillImage,Bart Noort,Bart Noort,https://observation.org/photos/9436477.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
106051206@OBS,https://observation.org/photos/9436476/,StillImage,Bart Noort,Bart Noort,https://observation.org/photos/9436476.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105828543@OBS,https://observation.org/photos/9376530/,StillImage,Daan van Doesum,Daan van Doesum,https://observation.org/photos/9376530.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105828539@OBS,https://observation.org/photos/9376527/,StillImage,Daan van Doesum,Daan van Doesum,https://observation.org/photos/9376527.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783051@OBS,https://observation.org/photos/9365245/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9365245.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782477@OBS,https://observation.org/photos/9364543/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364543.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782477@OBS,https://observation.org/photos/9364542/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364542.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783804@OBS,https://observation.org/photos/9364522/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364522.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783804@OBS,https://observation.org/photos/9364520/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364520.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783791@OBS,https://observation.org/photos/9364519/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364519.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783791@OBS,https://observation.org/photos/9364518/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364518.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783773@OBS,https://observation.org/photos/9364516/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364516.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783773@OBS,https://observation.org/photos/9364515/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364515.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783759@OBS,https://observation.org/photos/9364514/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364514.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783742@OBS,https://observation.org/photos/9364512/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364512.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783742@OBS,https://observation.org/photos/9364511/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364511.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783742@OBS,https://observation.org/photos/9364510/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364510.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783736@OBS,https://observation.org/photos/9364507/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364507.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783736@OBS,https://observation.org/photos/9364505/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364505.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
